run_id,model_scale_id,condition_id,stage,p_code,budget_R,z_R,budget_V,z_V,budget_M,z_M,budget_W,z_W,budget_E,z_E
REFERENCE-C020,REFERENCE,C020,A_FULL_FACTORIAL,0,24,2.0,0,0.0,98304,2.0,0,0.0,0,0.0
REFERENCE-C021,REFERENCE,C021,A_FULL_FACTORIAL,0,24,2.0,0,0.0,98304,2.0,0,0.0,6,2.0
REFERENCE-C022,REFERENCE,C022,A_FULL_FACTORIAL,0,24,2.0,0,0.0,98304,2.0,12,2.0,0,0.0
REFERENCE-C023,REFERENCE,C023,A_FULL_FACTORIAL,0,24,2.0,0,0.0,98304,2.0,12,2.0,6,2.0
REFERENCE-C024,REFERENCE,C024,A_FULL_FACTORIAL,0,24,2.0,12,2.0,0,0.0,0,0.0,0,0.0
REFERENCE-C025,REFERENCE,C025,A_FULL_FACTORIAL,0,24,2.0,12,2.0,0,0.0,0,0.0,6,2.0
REFERENCE-C026,REFERENCE,C026,A_FULL_FACTORIAL,0,24,2.0,12,2.0,0,0.0,12,2.0,0,0.0
REFERENCE-C027,REFERENCE,C027,A_FULL_FACTORIAL,0,24,2.0,12,2.0,0,0.0,12,2.0,6,2.0
REFERENCE-C028,REFERENCE,C028,A_FULL_FACTORIAL,0,24,2.0,12,2.0,98304,2.0,0,0.0,0,0.0
REFERENCE-C029,REFERENCE,C029,A_FULL_FACTORIAL,0,24,2.0,12,2.0,98304,2.0,0,0.0,6,2.0
REFERENCE-C030,REFERENCE,C030,A_FULL_FACTORIAL,0,24,2.0,12,2.0,98304,2.0,12,2.0,0,0.0
REFERENCE-C031,REFERENCE,C031,A_FULL_FACTORIAL,0,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
REFERENCE-C032,REFERENCE,C032,B_AXIAL,0,0,0.0,4,1.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C033,REFERENCE,C033,B_AXIAL,0,24,2.0,4,1.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C034,REFERENCE,C034,B_AXIAL,0,8,1.0,0,0.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C035,REFERENCE,C035,B_AXIAL,0,8,1.0,12,2.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C036,REFERENCE,C036,B_AXIAL,0,8,1.0,4,1.0,0,0.0,4,1.0,2,1.0
REFERENCE-C037,REFERENCE,C037,B_AXIAL,0,8,1.0,4,1.0,98304,2.0,4,1.0,2,1.0
REFERENCE-C038,REFERENCE,C038,B_AXIAL,0,8,1.0,4,1.0,32768,1.0,0,0.0,2,1.0
REFERENCE-C039,REFERENCE,C039,B_AXIAL,0,8,1.0,4,1.0,32768,1.0,12,2.0,2,1.0
REFERENCE-C040,REFERENCE,C040,B_AXIAL,0,8,1.0,4,1.0,32768,1.0,4,1.0,0,0.0
REFERENCE-C041,REFERENCE,C041,B_AXIAL,0,8,1.0,4,1.0,32768,1.0,4,1.0,6,2.0
